iter	Passed	Remaining
0	24	24772
1	47	23649
2	70	23348
3	93	23266
4	116	23260
5	140	23220
6	167	23748
7	193	24033
8	217	23982
9	241	23894
10	267	24036
11	291	24018
12	345	26204
13	384	27071
14	401	26335
15	415	25541
16	428	24798
17	442	24129
18	455	23520
19	469	22986
20	482	22473
21	501	22288
22	528	22440
23	548	22295
24	570	22263
25	594	22282
26	619	22313
27	641	22252
28	664	22264
29	685	22157
30	708	22136
31	727	22016
32	743	21792
33	758	21538
34	770	21245
35	783	20982
36	797	20752
37	810	20513
38	826	20362
39	841	20197
40	863	20206
41	918	20950
42	950	21163
43	988	21471
44	1030	21873
45	1067	22131
46	1133	22987
47	1237	24553
48	1329	25799
49	1394	26491
50	1417	26368
51	1450	26436
52	1497	26756
53	1531	26824
54	1564	26885
55	1602	27012
56	1666	27567
57	1728	28078
58	1776	28338
59	1797	28155
60	1812	27897
61	1827	27645
62	1842	27402
63	1858	27183
64	1877	27006
65	1895	26824
66	1923	26787
67	1936	26542
68	1951	26331
69	1965	26111
70	1978	25888
71	1995	25714
72	2023	25697
73	2052	25688
74	2082	25684
75	2111	25667
76	2126	25489
77	2144	25347
78	2183	25454
79	2224	25578
80	2269	25744
81	2305	25810
82	2325	25696
83	2343	25549
84	2378	25603
85	2424	25765
86	2472	25949
87	2519	26109
88	2567	26285
89	2620	26495
90	2676	26737
91	2719	26840
92	2739	26722
93	2755	26556
94	2771	26406
95	2790	26274
96	2818	26239
97	2863	26352
98	2920	26580
99	2958	26624
100	3089	27499
101	3119	27462
102	3150	27435
103	3169	27308
104	3183	27138
105	3197	26964
106	3210	26790
107	3227	26655
108	3242	26501
109	3255	26339
110	3267	26173
111	3281	26019
112	3308	25972
113	3340	25961
114	3373	25959
115	3410	25988
116	3436	25938
117	3486	26058
118	3551	26292
119	3603	26427
120	3641	26450
121	3656	26318
122	3674	26199
123	3688	26060
124	3702	25915
125	3716	25777
126	3736	25686
127	3749	25544
128	3766	25431
129	3779	25295
130	3793	25167
131	3807	25038
132	3829	24960
133	3848	24871
134	3862	24747
135	3883	24672
136	3908	24619
137	3924	24513
138	3938	24397
139	3953	24283
140	3975	24217
141	3999	24168
142	4013	24052
143	4028	23946
144	4041	23829
145	4055	23720
146	4068	23609
147	4082	23504
148	4096	23397
149	4110	23293
150	4124	23191
151	4137	23084
152	4150	22978
153	4223	23200
154	4265	23251
155	4306	23301
156	4392	23584
157	4435	23636
158	4484	23719
159	4497	23613
160	4516	23533
161	4537	23472
