iter	RMSE
0	169.1836102
1	157.735151
2	147.3073981
3	137.0965869
4	127.4276074
5	118.6630679
6	110.5351671
7	103.1070487
8	96.18466741
9	89.68226826
10	83.71601981
11	78.18183465
12	73.01962427
13	68.21374578
14	63.71571105
15	59.36462486
16	55.38655779
17	51.78613981
18	48.34530267
19	45.18174864
20	42.25938433
21	39.54046483
22	37.0365868
23	34.91762664
24	32.70185758
25	30.61999085
26	28.78901525
27	27.0077317
28	25.46411007
29	24.00746505
30	22.62362159
31	21.36303638
32	20.11968979
33	19.07356787
34	18.0603403
35	17.09641626
36	16.20263902
37	15.40266404
38	14.62246384
39	13.9188011
40	13.24057256
41	12.65927964
42	12.10518182
43	11.57282727
44	11.12160045
45	10.71165908
46	10.32437974
47	9.954610215
48	9.636045999
49	9.328214669
50	9.05312651
51	8.816895707
52	8.574425261
53	8.356278937
54	8.180970751
55	8.004421991
56	7.841540988
57	7.691534029
58	7.547023551
59	7.415404588
60	7.299027373
61	7.202977193
62	7.097360713
63	6.984731407
64	6.91742987
65	6.837695423
66	6.755054226
67	6.692870268
68	6.612880907
69	6.542506039
70	6.484561763
71	6.427894835
72	6.359427653
73	6.310640608
74	6.267691311
75	6.222731754
76	6.166980641
77	6.124441087
78	6.090615148
79	6.051880093
80	6.026729156
81	6.000010125
82	5.96863867
83	5.938995345
84	5.916347006
85	5.893228904
86	5.860436798
87	5.837468342
88	5.805083666
89	5.761713691
90	5.728786034
91	5.68808856
92	5.666146361
93	5.640291223
94	5.617916417
95	5.599963969
96	5.582959707
97	5.563510035
98	5.5323012
99	5.491759318
100	5.464032058
101	5.447466464
102	5.427730215
103	5.412141411
104	5.400768548
105	5.366630847
106	5.332836164
107	5.314528179
108	5.294624587
109	5.280855927
110	5.261880192
111	5.245180624
112	5.233090159
113	5.20813186
114	5.187286478
115	5.159365576
116	5.146920832
117	5.126540054
118	5.104263175
119	5.090028631
120	5.081717481
121	5.057768437
122	5.043268674
123	5.020711888
124	4.998883373
125	4.985281875
126	4.959278957
127	4.950774997
128	4.927430569
129	4.913529956
130	4.891633622
131	4.878133818
132	4.860327661
