iter	Passed	Remaining
0	102	102886
1	115	57770
2	124	41437
3	134	33570
4	145	29025
5	164	27251
6	171	24325
7	182	22642
8	196	21600
9	202	20068
10	209	18860
11	217	17920
12	223	16985
13	230	16237
14	246	16212
15	257	15828
16	268	15507
17	278	15189
18	297	15372
19	304	14924
20	311	14535
21	318	14159
22	321	13676
23	325	13251
24	329	12849
25	333	12475
26	336	12135
27	340	11816
28	343	11515
29	349	11286
30	353	11036
31	356	10787
32	360	10567
33	364	10355
34	368	10150
35	372	9961
36	375	9782
37	380	9644
38	384	9472
39	391	9396
40	396	9269
41	399	9118
42	403	8985
43	407	8857
44	412	8744
45	415	8617
46	419	8503
47	424	8425
48	428	8315
49	432	8212
50	436	8118
51	439	8017
52	443	7927
53	447	7838
54	451	7760
55	455	7682
56	465	7694
57	474	7699
58	486	7758
59	492	7719
60	500	7703
61	506	7668
62	513	7639
63	521	7620
64	527	7584
65	542	7677
66	552	7690
67	559	7669
68	568	7676
69	579	7697
70	587	7690
71	594	7658
72	606	7697
73	634	7935
74	642	7924
75	660	8033
76	670	8040
77	676	7992
78	682	7960
79	688	7914
80	691	7850
81	696	7794
82	703	7773
83	708	7720
84	713	7676
85	727	7733
86	751	7890
87	761	7886
88	768	7870
89	781	7899
90	789	7885
91	797	7872
92	806	7862
93	814	7854
94	885	8440
95	900	8481
96	905	8426
97	916	8433
98	920	8373
99	924	8321
100	931	8294
101	935	8235
102	941	8201
103	949	8182
104	954	8136
105	962	8119
106	986	8235
107	998	8246
108	1033	8449
109	1084	8773
110	1100	8812
111	1113	8826
112	1121	8803
113	1219	9477
114	1252	9638
115	1274	9715
116	1284	9690
117	1296	9694
118	1321	9782
119	1331	9764
120	1340	9737
121	1348	9701
122	1364	9726
123	1385	9787
124	1400	9800
125	1415	9816
126	1427	9810
127	1442	9826
128	1455	9829
129	1483	9931
130	1495	9919
131	1499	9861
132	1506	9822
133	1510	9764
134	1517	9726
135	1522	9671
136	1526	9617
137	1530	9563
138	1536	9515
139	1542	9472
140	1546	9420
141	1551	9374
142	1556	9328
143	1564	9297
144	1571	9264
145	1575	9213
146	1583	9191
147	1625	9356
148	1707	9751
149	1717	9730
150	1724	9698
151	1730	9653
152	1737	9619
153	1745	9588
154	1753	9558
155	1758	9511
156	1782	9571
157	1787	9528
158	1792	9481
159	1803	9466
160	1807	9420
161	1812	9376
162	1817	9331
163	1821	9286
164	1825	9236
165	1831	9201
166	1835	9153
167	1839	9110
168	1846	9077
169	1849	9030
170	1854	8990
171	1858	8945
172	1863	8910
173	1869	8873
174	1878	8857
175	1883	8817
176	1888	8782
177	1895	8751
178	1901	8721
179	1905	8681
180	1911	8648
181	1915	8611
182	1919	8569
183	1924	8533
184	1928	8497
185	1932	8457
186	1936	8418
187	1940	8380
188	1945	8349
189	1949	8311
190	1990	8431
191	2009	8457
192	2022	8458
193	2033	8448
194	2046	8449
195	2058	8445
196	2066	8423
197	2073	8398
198	2081	8379
199	2086	8345
200	2090	8308
201	2093	8271
202	2097	8235
203	2103	8207
204	2106	8170
205	2110	8135
206	2117	8112
207	2128	8105
208	2139	8097
209	2146	8073
210	2154	8055
211	2160	8030
212	2167	8008
213	2175	7989
214	2181	7966
215	2188	7943
216	2195	7921
217	2209	7925
218	2216	7905
219	2224	7885
220	2232	7870
221	2241	7856
222	2249	7839
223	2259	7826
224	2265	7804
225	2272	7782
226	2277	7755
227	2287	7746
228	2292	7718
229	2303	7713
230	2313	7701
231	2328	7709
232	2340	7705
233	2350	7695
234	2354	7666
235	2364	7654
236	2369	7629
237	2391	7657
238	2418	7700
239	2431	7699
240	2435	7670
241	2459	7702
242	2484	7740
243	2513	7788
244	2518	7760
245	2524	7736
246	2527	7706
247	2532	7678
248	2537	7652
249	2542	7628
250	2546	7598
251	2550	7570
252	2556	7549
253	2560	7520
254	2565	7495
255	2572	7475
256	2576	7447
257	2716	7812
258	2795	7998
259	2838	8078
260	2856	8087
261	2911	8200
262	3008	8429
263	3027	8439
264	3045	8445
265	3056	8433
266	3077	8448
267	3143	8586
268	3157	8580
269	3170	8573
270	3179	8551
271	3193	8548
272	3197	8515
273	3203	8487
274	3207	8455
275	3211	8424
276	3217	8398
277	3221	8366
278	3226	8336
279	3238	8327
280	3242	8297
281	3249	8272
282	3256	8249
283	3266	8234
284	3273	8213
285	3281	8191
286	3291	8176
287	3297	8153
288	3302	8125
289	3306	8095
290	3313	8072
291	3317	8043
292	3321	8014
293	3326	7988
294	3330	7960
295	3338	7940
296	3345	7917
297	3350	7892
298	3353	7863
299	3359	7838
300	3364	7812
301	3368	7785
302	3372	7757
303	3377	7732
304	3384	7711
305	3389	7686
306	3394	7661
307	3397	7634
308	3401	7607
309	3405	7579
310	3411	7557
311	3415	7531
312	3418	7503
313	3422	7476
314	3425	7449
315	3429	7423
316	3435	7401
317	3438	7375
318	3442	7348
319	3445	7322
320	3449	7296
321	3453	7270
322	3456	7245
323	3460	7219
324	3464	7196
325	3468	7170
326	3473	7149
327	3479	7127
328	3482	7102
329	3487	7080
330	3491	7055
331	3495	7033
332	3501	7013
333	3504	6988
334	3508	6964
335	3512	6940
336	3515	6916
337	3519	6893
338	3522	6869
339	3526	6846
340	3531	6823
341	3536	6804
342	3540	6781
343	3544	6758
344	3548	6736
345	3556	6723
346	3564	6708
347	3572	6692
348	3580	6679
349	3599	6685
350	3615	6685
351	3622	6669
352	3629	6652
353	3636	6635
354	3642	6618
355	3649	6601
356	3659	6591
357	3684	6607
358	3692	6592
359	3699	6576
360	3706	6560
361	3713	6545
362	3721	6529
363	3731	6519
364	3737	6502
365	3744	6486
366	3757	6480
367	3763	6463
368	3770	6447
369	4318	7352
370	4411	7480
371	4474	7553
372	4592	7720
373	4618	7730
374	4625	7708
375	4634	7690
376	5333	8813
377	5376	8847
378	5515	9037
379	5553	9061
380	5565	9041
381	5721	9256
382	5742	9250
383	5754	9231
384	5762	9204
385	5770	9179
386	6136	9720
387	6169	9730
388	6185	9716
389	6199	9696
390	6210	9672
391	6227	9659
392	6264	9675
393	6318	9718
394	6322	9683
395	6336	9664
